# Android SDK 34 - @RequiresPermission Annotations
# Total methods: 2085
# Format: class_name | method_name | permissions

android.accessibilityservice.AccessibilityService|dispatchGesture|android.permission.USE_FINGERPRINT
android.hardware.SensorPrivacyChangedParams|removeSensorPrivacyListener|android.permission.OBSERVE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|removeSensorPrivacyListener|android.permission.OBSERVE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|requiresAuthentication|android.permission.OBSERVE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|setSensorPrivacy|android.permission.MANAGE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|setSensorPrivacy|android.permission.MANAGE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|setSensorPrivacy|android.permission.MANAGE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|setSensorPrivacyForProfileGroup|android.permission.MANAGE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|setSensorPrivacyForProfileGroup|android.permission.MANAGE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|suppressSensorPrivacyReminders|android.permission.MANAGE_SENSOR_PRIVACY
android.hardware.SensorPrivacyChangedParams|suppressSensorPrivacyReminders|android.permission.MANAGE_SENSOR_PRIVACY
android.hardware.camera2.AvailabilityCallback|onCameraClosed|android.permission.CAMERA_OPEN_CLOSE_LISTENER
android.hardware.camera2.AvailabilityCallback|onCameraOpened|android.permission.CAMERA_OPEN_CLOSE_LISTENER
android.hardware.camera2.FoldStateListener|isConcurrentSessionConfigurationSupported|android.permission.CAMERA
android.hardware.camera2.FoldStateListener|openCamera|android.permission.CAMERA
android.hardware.camera2.FoldStateListener|openCamera|android.permission.CAMERA
android.hardware.camera2.FoldStateListener|openCamera|android.permission.CAMERA
android.hardware.camera2.FoldStateListener|openCamera|android.permission.CAMERA, android.permission.SYSTEM_CAMERA
android.hardware.camera2.TorchCallback|injectCamera|android.permission.CAMERA_INJECT_EXTERNAL_CAMERA
android.hardware.camera2.impl.CameraAdvancedExtensionSessionImpl|createCameraAdvancedExtensionSession|android.permission.CAMERA
android.hardware.camera2.impl.CameraExtensionSessionImpl|createCameraExtensionSession|android.permission.CAMERA
android.hardware.devicestate.DeviceStateManager|cancelBaseStateOverride|android.permission.CONTROL_DEVICE_STATE
android.hardware.devicestate.DeviceStateManager|cancelStateRequest|android.permission.CONTROL_DEVICE_STATE
android.hardware.devicestate.DeviceStateManager|requestBaseStateOverride|android.permission.CONTROL_DEVICE_STATE
android.hardware.devicestate.DeviceStateManager|requestState|android.permission.CONTROL_DEVICE_STATE
android.hardware.devicestate.DeviceStateManagerGlobal|cancelBaseStateOverride|android.permission.CONTROL_DEVICE_STATE
android.hardware.devicestate.DeviceStateManagerGlobal|cancelStateRequest|android.permission.CONTROL_DEVICE_STATE
android.hardware.devicestate.DeviceStateManagerGlobal|requestBaseStateOverride|android.permission.CONTROL_DEVICE_STATE
android.hardware.devicestate.DeviceStateManagerGlobal|requestState|android.permission.CONTROL_DEVICE_STATE
android.hardware.display.ColorDisplayManager|areAccessibilityTransformsEnabled|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|getNightDisplayAutoModeRaw|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|isDeviceColorManaged|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|isSaturationActivated|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setAppSaturationLevel|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setDisplayWhiteBalanceEnabled|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setNightDisplayActivated|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setNightDisplayAutoMode|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setNightDisplayColorTemperature|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setNightDisplayCustomEndTime|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setNightDisplayCustomStartTime|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setReduceBrightColorsActivated|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setReduceBrightColorsStrength|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.ColorDisplayManager|setSaturationLevel|android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS
android.hardware.display.DisplayManager|clearGlobalUserPreferredDisplayMode|android.permission.MODIFY_USER_PREFERRED_DISPLAY_MODE
android.hardware.display.DisplayManager|createVirtualDisplay|android.permission.CAPTURE_VIDEO_OUTPUT
android.hardware.display.DisplayManager|getAmbientBrightnessStats|android.permission.ACCESS_AMBIENT_LIGHT_STATS
android.hardware.display.DisplayManager|getBrightness|android.permission.CONTROL_DISPLAY_BRIGHTNESS
android.hardware.display.DisplayManager|getBrightnessConfiguration|android.permission.CONFIGURE_DISPLAY_BRIGHTNESS
android.hardware.display.DisplayManager|getBrightnessConfigurationForDisplay|android.permission.CONFIGURE_DISPLAY_BRIGHTNESS
android.hardware.display.DisplayManager|getBrightnessEvents|android.permission.BRIGHTNESS_SLIDER_USAGE
android.hardware.display.DisplayManager|getDefaultBrightnessConfiguration|android.permission.CONFIGURE_DISPLAY_BRIGHTNESS
android.hardware.display.DisplayManager|overrideHdrTypes|android.permission.ACCESS_SURFACE_FLINGER
android.hardware.display.DisplayManager|setAreUserDisabledHdrTypesAllowed|android.permission.WRITE_SECURE_SETTINGS
android.hardware.display.DisplayManager|setBrightness|android.permission.CONTROL_DISPLAY_BRIGHTNESS
android.hardware.display.DisplayManager|setBrightnessConfiguration|android.permission.CONFIGURE_DISPLAY_BRIGHTNESS
android.hardware.display.DisplayManager|setBrightnessConfigurationForDisplay|android.permission.CONFIGURE_DISPLAY_BRIGHTNESS
android.hardware.display.DisplayManager|setGlobalUserPreferredDisplayMode|android.permission.MODIFY_USER_PREFERRED_DISPLAY_MODE
android.hardware.display.DisplayManager|setHdrConversionMode|android.permission.MODIFY_HDR_CONVERSION_MODE
android.hardware.display.DisplayManager|setRefreshRateSwitchingType|android.permission.MODIFY_REFRESH_RATE_SWITCHING_TYPE
android.hardware.display.DisplayManager|setSaturationLevel|android.permission.CONTROL_DISPLAY_SATURATION
android.hardware.display.DisplayManager|setShouldAlwaysRespectAppRequestedMode|android.permission.OVERRIDE_DISPLAY_MODE_REQUESTS
android.hardware.display.DisplayManager|setUserDisabledHdrTypes|android.permission.WRITE_SECURE_SETTINGS
android.hardware.display.DisplayManager|shouldAlwaysRespectAppRequestedMode|android.permission.OVERRIDE_DISPLAY_MODE_REQUESTS
android.hardware.display.DisplayManagerGlobal|overrideHdrTypes|android.permission.ACCESS_SURFACE_FLINGER
android.hardware.hdmi.ClientHotplugEventListener|addHdmiCecEnabledChangeListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|addHdmiCecEnabledChangeListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|addHdmiCecVolumeControlFeatureListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|addHdmiControlStatusChangeListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|addHdmiControlStatusChangeListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|addHotplugEventListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|addHotplugEventListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getAllowedCecSettingIntValues|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getAllowedCecSettingStringValues|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getEarcEnabled|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getHdmiCecEnabled|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getHdmiCecVersion|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getHdmiCecVolumeControlEnabled|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getPowerControlMode|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getPowerStateChangeOnActiveSourceLost|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getRoutingControl|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getSadPresenceInQuery|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getSoundbarMode|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getSystemAudioControl|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getSystemAudioModeMuting|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getTvSendStandbyOnSleep|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getTvWakeOnOneTouchPlay|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|getUserCecSettings|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|removeHdmiCecEnabledChangeListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|removeHdmiCecVolumeControlFeatureListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|removeHdmiControlStatusChangeListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|removeHotplugEventListener|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setEarcEnabled|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setHdmiCecEnabled|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setHdmiCecVersion|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setHdmiCecVolumeControlEnabled|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setPowerControlMode|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setPowerStateChangeOnActiveSourceLost|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setRoutingControl|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setSadPresenceInQuery|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setSadsPresenceInQuery|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setSoundbarMode|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setStandbyMode|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setSystemAudioControl|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setSystemAudioModeMuting|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setTvSendStandbyOnSleep|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|setTvWakeOnOneTouchPlay|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|shouldHandleTvPowerKey|android.permission.HDMI_CEC
android.hardware.hdmi.ClientHotplugEventListener|toggleAndFollowTvPower|android.permission.HDMI_CEC
android.hardware.implementing|addAllSensorPrivacyListener|android.permission.OBSERVE_SENSOR_PRIVACY
android.hardware.implementing|isAllSensorPrivacyEnabled|android.permission.OBSERVE_SENSOR_PRIVACY
android.hardware.implementing|removeAllSensorPrivacyListener|android.permission.OBSERVE_SENSOR_PRIVACY
android.hardware.implementing|setAllSensorPrivacy|android.permission.MANAGE_SENSOR_PRIVACY
android.hardware.input.InputManager|addKeyboardLayoutForInputDevice|android.permission.SET_KEYBOARD_LAYOUT
android.hardware.input.InputManager|clearAllModifierKeyRemappings|android.permission.REMAP_MODIFIER_KEYS
android.hardware.input.InputManager|getInputDeviceBluetoothAddress|android.permission.BLUETOOTH
android.hardware.input.InputManager|getModifierKeyRemapping|android.permission.REMAP_MODIFIER_KEYS
android.hardware.input.InputManager|injectInputEvent|android.permission.INJECT_EVENTS
android.hardware.input.InputManager|injectInputEvent|android.permission.INJECT_EVENTS
android.hardware.input.InputManager|pilferPointers|android.permission.MONITOR_INPUT
android.hardware.input.InputManager|registerKeyboardBacklightListener|android.permission.MONITOR_KEYBOARD_BACKLIGHT
android.hardware.input.InputManager|remapModifierKey|android.permission.REMAP_MODIFIER_KEYS
android.hardware.input.InputManager|removeKeyboardLayoutForInputDevice|android.permission.SET_KEYBOARD_LAYOUT
android.hardware.input.InputManager|setCurrentKeyboardLayoutForInputDevice|android.permission.SET_KEYBOARD_LAYOUT
android.hardware.input.InputManager|setKeyboardLayoutForInputDevice|android.permission.SET_KEYBOARD_LAYOUT
android.hardware.input.InputManager|unregisterKeyboardBacklightListener|android.permission.MONITOR_KEYBOARD_BACKLIGHT
android.hardware.input.InputSettings|setMaximumObscuringOpacityForTouch|android.permission.WRITE_SECURE_SETTINGS
android.hardware.input.InputSettings|setPointerSpeed|android.permission.WRITE_SETTINGS
android.hardware.input.InputSettings|setStylusEverUsed|android.permission.WRITE_SECURE_SETTINGS
android.hardware.input.InputSettings|setTouchpadNaturalScrolling|android.permission.WRITE_SETTINGS
android.hardware.input.InputSettings|setTouchpadPointerSpeed|android.permission.WRITE_SETTINGS
android.hardware.input.InputSettings|setTouchpadRightClickZone|android.permission.WRITE_SETTINGS
android.hardware.input.InputSettings|setTouchpadTapToClick|android.permission.WRITE_SETTINGS
android.hardware.input.LocalKeyboardBacklightState|getInputDeviceBluetoothAddress|android.permission.BLUETOOTH
android.hardware.input.LocalKeyboardBacklightState|getKeyboardLayoutsForInputDevice|android.permission.MONITOR_KEYBOARD_BACKLIGHT
android.hardware.input.LocalKeyboardBacklightState|pilferPointers|android.permission.MONITOR_INPUT
android.hardware.input.LocalKeyboardBacklightState|setCurrentKeyboardLayoutForInputDevice|android.permission.SET_KEYBOARD_LAYOUT
android.hardware.input.VirtualDpad|sendKeyEvent|android.permission.CREATE_VIRTUAL_DEVICE
android.hardware.input.VirtualInputDevice|close|android.permission.CREATE_VIRTUAL_DEVICE
android.hardware.input.VirtualKeyboard|sendKeyEvent|android.permission.CREATE_VIRTUAL_DEVICE
android.hardware.input.VirtualMouse|sendButtonEvent|android.permission.CREATE_VIRTUAL_DEVICE
android.hardware.input.VirtualMouse|sendRelativeEvent|android.permission.CREATE_VIRTUAL_DEVICE
android.hardware.input.VirtualMouse|sendScrollEvent|android.permission.CREATE_VIRTUAL_DEVICE
android.hardware.input.VirtualNavigationTouchpad|sendTouchEvent|android.permission.CREATE_VIRTUAL_DEVICE
android.hardware.input.VirtualTouchscreen|sendTouchEvent|android.permission.CREATE_VIRTUAL_DEVICE
android.hardware.lights.SystemLightsManager|requestLights|android.permission.CONTROL_DEVICE_LIGHTS
android.hardware.lights.SystemLightsSession|close|android.permission.CONTROL_DEVICE_LIGHTS
android.hardware.location.Callback|createClient|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|createClient|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|createClient|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|createClient|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|createClient|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|disableNanoApp|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|disableTestMode|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|enableNanoApp|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|enableTestMode|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|findNanoAppOnHub|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|getContextHubHandles|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|getContextHubInfo|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|getContextHubs|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|getNanoAppInstanceInfo|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|getPreloadedNanoAppIds|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|loadNanoApp|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|loadNanoApp|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|queryNanoApps|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|sendMessage|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|unloadNanoApp|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.Callback|unloadNanoApp|android.permission.ACCESS_CONTEXT_HUB
android.hardware.location.ContextHubClient|sendMessageToNanoApp|android.permission.ACCESS_CONTEXT_HUB
android.hardware.radio.ProgramInfo|addAnnouncementListener|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.ProgramInfo|addAnnouncementListener|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.ProgramInfo|listModules|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.ProgramInfo|openTuner|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.ProgramInfo|removeAnnouncementListener|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|cancel|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|cancelAnnouncement|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|close|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|getConfiguration|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|getMute|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|getProgramInformation|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|hasControl|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|isAnalogForced|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|isAntennaConnected|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|isConfigFlagSet|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|isConfigFlagSupported|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|scan|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|seek|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|setAnalogForced|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|setConfigFlag|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|setConfiguration|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|setMute|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|startBackgroundScan|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|step|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|tune|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.radio.RadioTuner|tune|android.permission.ACCESS_BROADCAST_RADIO
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|enableUsbDataSignal|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|getCurrentFunctions|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|getUsbBandwidthMbps|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|grantPermission|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|hasPermission|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|hasPermission|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|registerDisplayPortAltModeEventsIfNeededLocked|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|registerDisplayPortAltModeInfoListener|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|resetUsbGadget|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|setCurrentFunctions|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|unregisterDisplayPortAltModeEventsLocked|android.permission.MANAGE_USB
android.hardware.usb.DisplayPortAltModeInfoDispatchingListener|unregisterDisplayPortAltModeInfoListener|android.permission.MANAGE_USB
android.hardware.usb.UsbManager|onDisplayPortAltModeInfoChanged|android.permission.MANAGE_USB
android.hardware.usb.UsbPort|enableContaminantDetection|android.permission.MANAGE_USB
android.hardware.usb.UsbPort|resetUsbPort|android.permission.MANAGE_USB
android.hardware.usb.UsbPort|setRoles|android.permission.MANAGE_USB
android.hardware.usb.UsbPort|supportsComplianceWarnings|android.permission.MANAGE_USB
android.location.LocationManager|setExtraLocationControllerPackage|android.permission.LOCATION_HARDWARE
android.location.ProviderRequestLazyLoader|addProviderRequestChangedListener|android.permission.LOCATION_HARDWARE, android.permission.INTERACT_ACROSS_USERS
android.location.ProviderRequestLazyLoader|flushGnssBatch|android.permission.LOCATION_HARDWARE
android.location.ProviderRequestLazyLoader|getProviderPackages|android.permission.READ_DEVICE_CONFIG
android.location.ProviderRequestLazyLoader|isAutomotiveGnssSuspended|android.permission.CONTROL_AUTOMOTIVE_GNSS
android.location.ProviderRequestLazyLoader|isProviderPackage|android.permission.READ_DEVICE_CONFIG
android.location.ProviderRequestLazyLoader|isProviderPackage|android.permission.READ_DEVICE_CONFIG
android.location.ProviderRequestLazyLoader|isProviderPackage|android.permission.READ_DEVICE_CONFIG
android.location.ProviderRequestLazyLoader|registerGnssBatchedLocationCallback|android.permission.LOCATION_HARDWARE, android.permission.UPDATE_APP_OPS_STATS
android.location.ProviderRequestLazyLoader|removeProviderRequestChangedListener|android.permission.LOCATION_HARDWARE
android.location.ProviderRequestLazyLoader|setAutomotiveGnssSuspended|android.permission.CONTROL_AUTOMOTIVE_GNSS
android.location.ProviderRequestLazyLoader|setExtraLocationControllerPackageEnabled|android.permission.LOCATION_HARDWARE
android.location.ProviderRequestLazyLoader|setLocationControllerExtraPackage|android.permission.LOCATION_HARDWARE
android.location.ProviderRequestLazyLoader|setLocationControllerExtraPackageEnabled|android.permission.LOCATION_HARDWARE
android.location.ProviderRequestLazyLoader|unregisterGnssBatchedLocationCallback|android.permission.LOCATION_HARDWARE
android.media.AudioAttributes|getSdkUsages|android.permission.MODIFY_AUDIO_ROUTING, android.permission.ACCESS_ULTRASOUND, android.permission.MODIFY_PHONE_STATE
android.media.AudioDeviceInfo|enforceValidAudioDeviceTypeOut|android.permission.CAPTURE_AUDIO_OUTPUT
android.media.AudioManager|addOnNonDefaultDevicesForStrategyChangedListener|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|addOnPreferredDeviceForStrategyChangedListener|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|addOnPreferredDevicesForStrategyChangedListener|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|forceVolumeControlStream|android.permission.MODIFY_PHONE_STATE
android.media.AudioManager|getLastAudibleStreamVolume|android.permission.QUERY_AUDIO_STATE
android.media.AudioManager|getLastAudibleVolumeForVolumeGroup|android.permission.QUERY_AUDIO_STATE
android.media.AudioManager|getMaxVolumeIndexForAttributes|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|getMinVolumeIndexForAttributes|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|getNonDefaultDevicesForStrategy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|getPreferredDeviceForStrategy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|getPreferredDevicesForStrategy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|getPublicStreamTypes|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|getVolumeGroupMaxVolumeIndex|android.permission.MODIFY_AUDIO_ROUTING, android.permission.MODIFY_AUDIO_SETTINGS_PRIVILEGED
android.media.AudioManager|getVolumeGroupMinVolumeIndex|android.permission.MODIFY_AUDIO_ROUTING, android.permission.MODIFY_AUDIO_SETTINGS_PRIVILEGED
android.media.AudioManager|getVolumeGroupVolumeIndex|android.permission.MODIFY_AUDIO_ROUTING, android.permission.MODIFY_AUDIO_SETTINGS_PRIVILEGED
android.media.AudioManager|getVolumeIndexForAttributes|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|removeDeviceAsNonDefaultForStrategy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|removeOnNonDefaultDevicesForStrategyChangedListener|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|removeOnPreferredDeviceForStrategyChangedListener|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|removeOnPreferredDevicesForStrategyChangedListener|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|removePreferredDeviceForStrategy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|setDeviceAsNonDefaultForStrategy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|setMasterMute|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|setPreferredDeviceForStrategy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|setPreferredDevicesForStrategy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|setStreamSolo|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|setSupportedSystemUsages|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioManager|setVolumeGroupVolumeIndex|android.permission.MODIFY_AUDIO_ROUTING, android.permission.MODIFY_AUDIO_SETTINGS_PRIVILEGED
android.media.AudioManager|setVolumeIndexForAttributes|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioPlaybackConfiguration|getMutedBy|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioPlaybackConfiguration|init|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioPlaybackConfiguration|isMuted|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioRecord|unregisterAudioPolicyOnRelease|android.permission.RECORD_AUDIO
android.media.AudioRecordingConfiguration|getClientUid|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioServerStateCallback|getAudioProductStrategies|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioServerStateCallback|getAudioVolumeGroups|android.permission.MODIFY_AUDIO_ROUTING
android.media.AudioServerStateCallback|isHotwordStreamSupported|android.permission.CAPTURE_AUDIO_HOTWORD
android.media.AudioServerStateCallback|isUltrasoundSupported|android.permission.ACCESS_ULTRASOUND
android.media.AudioServerStateCallback|setEncodedSurroundMode|android.permission.WRITE_SETTINGS
android.media.AudioServerStateCallback|setSurroundFormatEnabled|android.permission.WRITE_SETTINGS
android.media.AudioSource|isSystemOnlyAudioSource|android.permission.CAPTURE_AUDIO_OUTPUT, android.permission.CAPTURE_AUDIO_HOTWORD, android.permission.ACCESS_ULTRASOUND
android.media.AudioSystem|getMasterBalance|android.permission.MODIFY_AUDIO_SETTINGS
android.media.AudioSystem|setMasterBalance|android.permission.MODIFY_AUDIO_SETTINGS
android.media.AudioTrack|unregisterAudioPolicyOnRelease|android.permission.MODIFY_AUDIO_ROUTING
android.media.BlockingFocusResultReceiver|dispatchAudioFocusChange|android.permission.MODIFY_AUDIO_ROUTING
