mapping,benign_count,benign_mean,benign_std,malware_count,malware_mean,malware_std,cohens_d,effect_size,t_statistic,p_value,significant
bamboo,573,44.42059336823735,36.28993285848081,609,13.454844006568145,20.54699480262298,1.0500973006583245,large,18.170574233449088,3.0194427007520267e-65,True
dynamo,573,14.63089005235602,19.501428920039142,609,6.374384236453202,14.016008932439872,0.4862010500050867,small,8.387720743803051,1.3988516700936305e-16,True
sdk_annotations,573,6.285340314136126,8.404228643374713,609,2.0008210180623975,4.111390239760469,0.6476304394647439,medium,11.223660201289686,7.586672524999762e-28,True
